UK | US

accoutre accouter
accoutrement accouterment
acknowledgement acknowledgment
aggrandise aggrandize
ageing aging
aerofoil airfoil
aeroplane airplane
aluminium aluminum
americanise americanize
americanised americanized
americanising americanizing
amphitheatre amphitheater
analogue analog
analyse analyze
analysed analyzed
analysing analyzing
anaemia anemia
anaemic anemic
anaesthetic anesthetic
anaesthetist anesthetist
apologise apologize
apologised apologized
apologising apologizing
appal appall
arbour arbor
ardour ardor
counsellor counselor
armour armor
armoured armored
armourer armorer
armouring armoring
armoury armory
artefact artifact
artefact artifact
arse ass
axe ax
baulk balk
behaviour behavior
behavioural behavioral
behavioural behavioral
behaviourism behaviorism
behove behoove
benefitted benefited
bisulphate bisulfate
breathalyse breathalyze
burglarise burglarize
calibre caliber
calliper caliper
cancelled canceled
cancelling canceling
candour candor
capitalise capitalize
carburettor carburetor
catalogue catalog
catalogued cataloged
cataloguing cataloging
catalyse catalyze
categorisation categorization
categorise categorize
categorised categorized
categorising categorizing
ketchup catsup
centre center
centred centered
centres centers
customise customize
customised customized
customising customizing
customisation customization
customisation customization
centrefold centerfold
characterisation characterization
characterise characterize
characterised characterized
characterising characterizing
cheque check
chilli chili
civilisation civilization
clamour clamor
colonisation colonization
colonise colonize
colonised colonized
colonising colonizing
colour color
coloured colored
colouring coloring
colorisation colorization
co cooporate-operate
counselled counseled
counselled counseled
counselling counseling
cosy cozy
crayfish crawfish
criticise criticize
criticising criticizing
criticised criticized
kerb curb
kerb curb
emphasise emphasize
emphasised emphasized
emphasising emphasizing
defence defense
defences defenses
defencive defensive
defenciveness defensiveness
demeanour demeanor
dependant dependent
dialogue dialog
dialyse dialyze
disc disk
distil distill
disulphide disulfide
doughnut donut
doodah doodad
draught draft
draughtsman draftsman
enamour enamor
encyclopaedia encyclopedia
endeavour endeavor
energise energize
energised energized
energising energizing
enrol enroll
enrolment enrollment
enthral enthrall
moulding molding
equalled equaled
oestrogen estrogen
extemporise extemporize
autumn fall
fantasise fantasize
fantasised fantasized
favour favor
gauge gage
favoured favored
favourite favorite
favouritism favoritism
faeces feces
fervour fervor
foetus fetus
fibre fiber
fibreboard fiberboard
fibreglass fiberglass
finalise finalize
flavour flavor
fount font
fuelled fueled
fulfil fulfill
fulfilment fulfillment
furore furor
generalisation generalization
glamour glamor
goitre goiter
grey gray
greyed grayed
grovelling groveling
harbour harbor
honour honor
honourable honorable
humour humor
compositae composite
idolise idolize
idolised idolized
idolises idolizes
inflexion inflection
enquiry inquiry
enquire inquire
enquiries inquiries
instal install
instalment installment
instil instill
jeweller jeweler
jewellery jewelry
judgement judgment
carat karat
kidnapper kidnaper
kilogramme kilogram
kilometre kilometer
labelled labeled
labour labor
labourer laborer
learnt learned
modelling modeling
minimise minimize
minimised minimized
minimising minimizing
maximise maximize
maximising maximizing
maximises maximizes
leukaemia leukemia
levelled leveled
levelling leveling
liberalise liberalize
licence license
licenced licensed
licencing licensing
liquorice licorice
litre liter
lustre luster
manoeuvre maneauver
manoeuvre maneuver
maths math
meagre meager
metre meter
misdemeanour misdemeanor
mitre miter
mobilise mobilize
modelling modeling
mould mold
moult molt
mum mom
monetise monetize
monologue monolog
moustache mustache
naturalise naturalize
nought naught
neighbour neighbor
neighbourhood neighborhood
neighbouring neighboring
nitre niter
normalisation normalization
normalise normalize
normalised normalized
normalising normalizing
ochre ocher
odour odor
offence offense
offencive offensive
omelette omelet
authorise authorize
authorised authorized
authorisation authorization
authorising authorizing
optimisation optimization
optimise optimize
personalised personalized
personalise personalize
optimised optimized
prise prize
prises prizes
paediatric pediatric
optimising optimizing
adaptor adapter
adaptors adapters
organisation organization
organisational organizational
organise organize
organisations organizations
organised organized
organising organizing
pyjamas pajamas
panellist panelist
paralyse paralyze
parlour parlor
pedlar peddler
pernickety persnickety
philtre philter
picaninny pickaninny
plough plow
plonk plunk
popularisation popularization
popularise popularize
popularised popularized
popularising popularizing
practise practice
pretence pretense
prioritisation prioritization
prioritise prioritize
prioritised prioritized
prioritising prioritizing
programme program
potter putter
quarrelling quarreling
rancour rancor
realisation realization
realise realize
realised realized
realises realizes
realising realizing
recognise recognize
syphon siphon
harmonise harmonize
harmonised harmonized
harmonising harmonizing
harmonisation harmonization
recognised recognized
recognises recognizes
splendour splendor
recognising recognizing
reconnoitre reconnoiter
reflexion reflection
rigour rigor
rumour rumor
rumoured rumored
sabre saber
saltpetre saltpeter
satirise satirize
saviour savior
scallywag scalawag
sceptre scepter
signaled signalled
signaling signalling
sceptic skeptic
sceptical skeptical
skilful skillful
smoulder smolder
snowplough snowplow
socialise socialize
socialised socialized
socialising socializing
sombre somber
specialisation specialization
specialise specialize
specialised specialized
specialising specializing
speciality specialty
specialities specialties
spectre specter
spelled spelt
splendour splendor
stabilise stabilize
standardise standardize
storey story
storeys stories
tyres tires
tyred tired
succour succor
sulphate sulfate
sulphur sulfur
symbolise symbolize
sympathisation sympathization
sympathise sympathize
sympathised sympathized
theatre theater
titbit tidbit
tyre tire
travelled traveled
traveller traveler
travelling traveling
tzar tsar
tumour tumor
utilisation utilization
utilise utilize
utilised utilized
utilising utilizing
valour valor
waggon wagon
vandalise vandalize
vandalising vandalizing
vapour vapor
vaporise vaporize
cognisance cognizance
savour savor
vigour vigor
whisky whiskey
woollen woolen
wilful willful
worshipper worshiper
